date,close,line2,line3
1-Jan-15,10.00,15.00,150.00
2-Jan-15,20.00,25.00,250.00
3-Jan-15,30.00,10.00,100.00
4-Jan-15,-4.00,-1.00,-10.00
5-Jan-15,-5.00,-10.00,-100.00
6-Jan-15,-10.00,-6.00,-60.00
7-Jan-15,3.00,-3.00,-30.00
8-Jan-15,9.00,4.00,40.00
9-Jan-15,-15.00,-10.00,-100.00
10-Jan-15,9.00,3.00,30.00
11-Jan-15,9.00,12.00,120.00
12-Jan-15,10.00,15.00,150.00
13-Jan-15,20.00,3.00,30.00
14-Jan-15,30.00,-20.00,-200.00
15-Jan-15,-4.00,-25.00,-250.00
16-Jan-15,-5.00,-18.00,-180.00
17-Jan-15,-10.00,4.00,40.00
18-Jan-15,3.00,7.00,70.00
19-Jan-15,9.00,13.00,130.00
20-Jan-15,-15.00,-10.00,-100.00
21-Jan-15,9.00,5.00,50.00
22-Jan-15,9.00,0.00,0.00
23-Jan-15,10.00,0.00,0.00
24-Jan-15,20.00,14.00,140.00
25-Jan-15,30.00,13.00,130.00
26-Jan-15,-4.00,-10.00,-100.00
27-Jan-15,-5.00,-14.00,-140.00
28-Jan-15,-10.00,-3.00,-30.00
29-Jan-15,3.00,3.00,30.00
30-Jan-15,9.00,9.00,90.00
