ROWNUM,Name,AdmArea,District,ParkName,WiFiName,CoverageArea,FunctionFlag,AccessFlag,Password,Longitude_WGS84,Latitude_WGS84,global_id,
1,"Точка доступа №118","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.775872","55.741011","20660156",
2,"Точка доступа №124","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.772653","55.74121","20660162",
3,"Точка доступа №119","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.776709","55.741325","20660157",
4,"Точка доступа №116","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.776956","55.74052","20660154",
5,"Точка доступа №122","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.774488","55.74193","20660160",
6,"Точка доступа №120","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.77643","55.7419","20660158",
7,"Точка доступа №117","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.775185","55.739703","20660155",
8,"Точка доступа №115","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.776451","55.739425","20660153",
9,"Точка доступа №123","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.775711","55.743498","20660161",
10,"Точка доступа №121","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.774853","55.74262","20660159",
11,"Точка доступа №126","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.772868","55.741579","20660164",
12,"Точка доступа №134","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.659377","55.768302","20660172",
13,"Точка доступа №133","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.660257","55.768231","20660171",
14,"Точка доступа №125","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.772042","55.739558","20660163",
15,"Точка доступа №130","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.660699","55.766811","20660168",
16,"Точка доступа №131","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.660101","55.767398","20660169",
17,"Точка доступа №129","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.660678","55.766413","20660167",
18,"Точка доступа №128","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.77544","55.744764","20660166",
19,"Точка доступа №127","Восточный ","Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.774045","55.744171","20660165",
20,"Точка доступа №132","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.659642","55.767513","20660170",
21,"Точка доступа №137","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.659186","55.766444","20660175",
22,"Точка доступа №138","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.659061","55.766178","20660176",
23,"Точка доступа №141","Западный ","Раменки","Государственное бюджетное учреждение города Москвы «Молодежный центр «Сетуньский Стан»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.538605","55.730709","20660179",
24,"Точка доступа №140","Западный ","Раменки","Государственное бюджетное учреждение города Москвы «Молодежный центр «Сетуньский Стан»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.539211","55.730671","20660178",
25,"Точка доступа №136","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.658722","55.767814","20660174",
26,"Точка доступа №135","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.658706","55.768227","20660173",
27,"Точка доступа №143","Западный ","Раменки","Государственное бюджетное учреждение города Москвы «Молодежный центр «Сетуньский Стан»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.53751","55.730674","20660181",
28,"Точка доступа №139","Центральный ","Басманный","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.660005","55.766057","20660177",
29,"Точка доступа №1","Центральный ","Тверской","Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.673665","55.795142","20660182",
30,"Точка доступа №142","Западный ","Раменки","Государственное бюджетное учреждение города Москвы «Молодежный центр «Сетуньский Стан»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.5381","55.73084","20660180",
31,"Точка доступа №6","Центральный ","Тверской","Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.607661","55.771482","20660187",
32,"Точка доступа №2","Центральный ","Тверской","Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.608279","55.769665","20660183",
33,"Точка доступа №4","Центральный ","Тверской","Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.607455","55.770649","20660185",
34,"Точка доступа №3","Центральный ","Тверской","Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.607674","55.770004","20660184",
35,"Точка доступа №10","Северо-Восточный ","Лосиноостровский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.681585","55.866711","20660191",
36,"Точка доступа №7","Центральный ","Тверской","Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.609817","55.771315","20660188",
37,"Точка доступа №11","Северо-Восточный ","Лосиноостровский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.682291","55.866575","20660192",
38,"Точка доступа №9","Центральный ","Тверской","Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.611506","55.770298","20660190",
39,"Точка доступа №8","Центральный ","Тверской","Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.610629","55.770828","20660189",
40,"Точка доступа №5","Центральный ","Тверской","Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.60719","55.771009","20660186",
41,"Точка доступа №13","Северо-Восточный ","Лосиноостровский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.683048","55.867602","20660194",
42,"Точка доступа №17","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.742289","55.686662","20660198",
43,"Точка доступа №21","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.739982","55.687825","20660202",
44,"Точка доступа №12","Северо-Восточный ","Лосиноостровский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.682588","55.867336","20660193",
45,"Точка доступа №20","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.740207","55.687383","20660201",
46,"Точка доступа №15","Северо-Восточный ","Лосиноостровский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.683599","55.868704","20660196",
47,"Точка доступа №14","Северо-Восточный ","Лосиноостровский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.684009","55.868166","20660195",
